name,tweets,followers_count
MichelleDivine5,0,6
shbricker,367,68
aaperrone,16,8
Ahmadfa78728117,79,1
TK00873890,6,4
markamimura,2268,585
kelseynic07,2324,186
beingtitan,995,154
BrianFishmanDO,9013,1983
marcio_chem,36,144
SurvivalMchine,341,104
AlecBeeve,4,5
Y98Lance,45729,7153
KThaemert,860,244
JohnPaulJanik1,60,39
peaksportspine,86,144
richard42877112,16,1
joan_herlihy,8,2
Chris_Lisgaras,306,561
Transit788,158,82
murray7100,154,50
rmishra_Stl,4,1
josue_ma_,3501,245
OlumideA100,104,6
Batidie6,1391,115
Solomon96844838,0,0
internetplans,499,153
GreyBryanDesign,517,76
ray_chazelle,94,24
JasminSponagel,27,38
stephrstephr,411,235
QualityPolitics,2,3
D_E_E_P_A_K___,1,15
QuinnYoung4,1,8
stlpeacecorps,196,196
klobell,3232,138
flavaroyale,163,80
SofiaMFred,2,46
RenalRhapsody,13,152
STL48778216,0,0
Pheiura,789,378
mireiapellicer5,0,32
abcbanden,377,71
sedengineer,12301,511
Joshua88187186,0,0
500wsSTL,890,403
MWSTS1,50,43
KariHoggard,4,4
j_steirn,16,7
EthelBS,113,127
feebeeleee,121,48
HMSPallCare,1819,4726
BrickingMaliah,2,2
Adedipe1992,104,11
boddah321,5,141
havengabielle,0,0
Ayanman180,4,10
Olumide1992,103,13
SudiBjornstad,50,39
BudgePhilip,3,26
NoahRandall90,46,16
THARUNR39573417,0,8
jamesistrawick,10,11
luke_markinson,1114,69
JTNoetzel,105,167
DrMarcal,16,40
vanjohnsonn,29,12
jjy624,4,1
wiedermc,4,45
coker_kristin,86,28
YaowuWang,9,3
sarahlizzwilson,22,26
CarlKirts,114,133
jermeshaj,1354,28
meister_bird,5101,592
T27932,89,32
kyiv_vladimir,8,42
Mr_BuenosDiaz,54,192
stlatheists,8224,10563
Courtne14364347,6,8
smplds,0,0
rogerpilc,281,897
HollySi72172496,1,1
anettles330,0,3
Zeng_Jiahe,0,0
upchange,127,8
stlbbqsociety,770,432
ThomureOlivia,2,1
