name,tweets,followers_count
Kath_Sully,6175,1563
bertous,12865,885
FSW_KULEUVEN,594,1230
jonfitzwallace,460,919
scottja17075919,1,152
IPZuser,8227,2980
NuffieldLibrary,3916,1780
LineKuppens,508,389
DemInPractice,719,2025
AGodefroidt,426,373
maija_setala,164,445
VinArceneaux,337,1610
rialana,3113,546
DemocracyNet_,906,535
habibur5356,283,629
Americas_Survey,471,454
alexdono,8752,1229
niels_smeets,158,118
DrRodDacombe,816,536
joan_barcelo_,67,359
Eva_Doya,2627,827
ConnorDHuff,456,1331
jimcust,1755,6684
simonniemeyer,236,499
cd_lucas,566,2385
doriensamper,96,105
PSAdemocracy,1968,1587
KeiNishiyamauc,1058,522
jennifer_oser,104,216
CESS_LAC,167,188
MartaCuanti,1353,911
SortitionNow,926,2644
BSHennig,203,1289
sveinungarnesen,316,327
mwcps_tweets,1760,1104
DanJDevine,4380,710
selenAercan,605,1176
t_soeren,0,4
Hans_Asenbaum,1479,810
ClaudiaChwalisz,13400,4393
isvitores,1417,390
dfarrell_ucd,36985,9314
Sergisme,1270,190
MatBasford,6,166
robjohns75,1892,716
ainagallego,1101,1414
KimGron,11311,6712
LucyJParry,4488,876
StevenVdWalle,8138,3142
AndreaFelicetti,308,390
jordimunozm,34657,18686
a_vranceanu,309,228
TomWGvdMeer,20086,6656
OliverEscobar,11337,5483
ctznmex,420,225
involveUK,5403,5585
sumsch19,216,1090
IneGoovaerts2,31,172
Reema__Patel,3953,2058
Steamrollerprod,958,663
CSDWestminster,607,1259
Smith1966G,226,1315
clharris_ucc,19297,2126
RayPoynter,28129,10705
_SofieMarien,2301,1331
leire_rincon,30,125
SERISS_EU,470,1450
Polileaks1,188,322
christi51rn,11420,490
RiceCompSci,1786,659
PoliSciUMN,8803,1757
MarkPJonesTX,3508,2627
KasuPol,295,169
aliyu_yero,4175,726
Sarah_Brierley1,0,141
Luissaidwha,750,139
TimeImaging,213,366
PostSovietGraf,2166,914
Yuki_Atsusaka,1,20
AbarcaChano,1,51
blkwomenstudies,482,2962
it_me_valdes,826,115
renegade_author,1173,99
MuhammadOwais17,66,271
gpenchynac,250,78
aslicansunar,89,512
johnadearborn,3459,1718
pauldishman2,1,9
PSANational,1445,1372
mariam_a,7673,390
julie_wronski,395,881
spence52,1198,183
sheelyedwards,2203,630
JGKaram,4968,788
Prof_Vitriol,32,25
gmmathew13,82,172
ekdekeyser,11,67
akyildirim,5479,1136
Yan666Supre,6,9
ChesThurber,2534,464
DanielC59090362,1,5
EmeryJohnR,2963,1048
Nicholas_Haas_1,30,129
Aycan_ka,4828,598
yiqinfu,2354,3874
deholliday_ucla,18,62
ponderingpodob,17965,561
A_Behaviorist,1113,311
EvrenWiltse,20241,7213
nmotw,126,126
LoraDiBlasi,179,188
markchand,4831,1376
xjnu2014,62,82
_danigilbert,339,493
chequeredfuture,2658,949
lukas_feddern,80,53
joelasievert,2006,867
ZhaoJiakun,8,0
thumbtacky,13304,482
AshaElshehawy,5512,582
Wyatt__Scott,1270,279
abraxas_m,2043,590
RebekahDowd19,5759,410
micaela_garcete,1696,103
hjmoncrieff,1130,370
gorozcolara,89,18
davereadsnews,281,164
peterjohn10,590,3410
haoran_zhang96,216,78
alexjabbour,5627,2243
FleisherJeffrey,744,258
cd_lucas,566,2385
JaciKettler,4796,898
ronsnzl,1059,341
biorunner11,145,10
ietchacq,1,16
SoerenHenn,140,179
bsupolisci,1730,521
bboyea,2,6
Elizabeth_L_M,85,243
DominikDuell,11,187
SergioHuertasif,851,469
omerwrites,106,203
apsa_itp,270,610
agusteffen,10,302
JScurrell,579,545
jldhouston,490,812
Renita_Miller,88,58
RiceK2I,711,358
MrDSaL,3650,74
TalbotMAndrews,216,474
shirokuriwaki,211,915
KirstenWidner,854,743
CL_Rothschild,6882,1618
EmilyTaylorElia,4,29
sophieenh,20,15
Rice_BIOE,512,915
GuiYangpolisci,2,47
MeasureDoc,776,482
alex_garcimagos,457,145
michtorresp,249,729
paullagunes,1575,2044
stephengoggin,472,390
dweitzel,1386,254
carito_tch,61,163
ScottClif,379,1649
sgu001,1,5
RiceSocSci,5460,946
RiceGradSchool,928,453
schwindtbayer,64,494
RoiZur,313,320
DavidFortunato,682,682
juanpm2002,1089,660
subhan5454,355,87
MathiasTrombor1,101,64
oequezada,2761,168
pmartjo,967,757
1823kamueku,2,3
josemaru718,8976,546
amatsuo_net,101,267
cmmillet,809,33
genopolitics,14,98
seonghuilee,1112,133
Gladzu,36,84
stollr,3,19
tiffanydbarnes,1660,3430
MikaelaKarstens,253,135
gdillin,12394,1312
j_homola,62,223
nbapat,20,235
Willardson_SL,666,145
GustavoGuajard0,31,46
linneaturco,2386,266
ItsJustLeg,61,54
ColinJ_Jones,612,254
ngoctphan,48,139
andradpascu,9,36
gdilandro,109,85
VinArceneaux,337,1610
DrNMiller,1058,114
KerimKavakli,14,36
Joestman,11,125
dianazobrien,378,1949
prof_hayes,55,284
reyeshousholder,0,32
aiganym_v,12,33
andycarrizosa08,471,229
PoliSciCem,38,44
carlammm,1463,713
LianaEustacia,870,392
nomadic_kris,1646,327
JessicaEdry,33,92
KaitlinSenk,29,96
rkwrice,1298,2037
PerryPoliSci,10,68
therealmattlamb,1033,129
ConnorDHuff,456,1331
agushaime,1934,480
BAshleyLeeds,255,1222
MendyFamara,3,13
has_osm,608,1470
k_shoub,2,176
hannah_suleiman,1,194
mjensley,1991,824
Rebecca_A_Reid,1123,510
MatthewFacciani,9589,2761
serenditidi,8561,373
Shankho10,215,2499
lauren_insinger,7734,240
ProfDanSmith,2913,1656
JackMillerCtr,1950,792
HoldenCasey,5902,797
Victor_Asal,111259,7652
kmftimm,4772,1959
GhilesDahmani,91,84
GeneralAbrams2,0,27
KRJ492,80,60
Ryangrayson5056,1,0
TuckerD_TX,24,113
OtdTaft,195,1068
akoustov,303,1881
GrandolfoJake,0,1
SofiaColMar,359,413
KangogoNick,225,57
AhmedS18334649,79,113
nurdiyana02,2829,639
msgHankinson,876,846
Survation,2844,49058
NonToxicLeader,528,130
mbarber83,1858,714
WonhyukCho,809,428
NouraizSial,1422,1376
benepstein55,16180,1492
FranziiBoehme,2713,437
lmjstate,169,107
MeaghanRysdale,32,299
realJanRau,34,87
iqbalkh70580141,24,143
Mohamed43603963,0,34
EmmaGoldmanSaks,193,40
jf_daoust,956,1003
HuffmonPolitics,48930,2810
davereadsnews,281,164
matt_motta,5140,1697
ryanrynbrandt,318,252
Properganda8,112,525
EmmaDreher_,950,425
k_r_johnson,382,763
michael_e_flynn,1842,653
daveamp,4272,867
mpfix1,4444,571
EmilianeGranger,4,0
mhwetselX2,800,112
LSQjournal,10,351
SuraDennis,0,10
furqanh34524734,6,22
POLSISEngage,2260,3797
afrozalam2,1287,1248
BeckPolitics,118,57
WorldAisp,255,2858
VirginiaCady,3850,334
socscihist,95,607
se_polsci,169,22
704Observer,468,44
MrsVerbeck,208,72
brianfharrison,1171,1056
DQaWesITEjYHOpx,64,161
hhowell_wms,4866,551
Dr_AKolpakov,83,278
benagorn12,5643,315
semrasevi,42,1675
karolczuba,552,302
TMacafee,1904,427
lualima25,8206,109
djoestenmartin,70,170
andres_en_tx,1427,189
CarosonePablo,165,75
BenkaPatrick,12,0
James11991957,13,218
monika_nalepa,55,247
charleswjacks15,9,6
StephMAhrens,46,36
Erdenedalai_B,666,730
Weimaranermommy,27,0
marieloyes,1,6
ChristopherPDo3,16,146
jacklreilly,78,89
drlorileeoates,13568,1163
daschloz,4270,1785
chadryanrector,135,237
AyyePope,127,17
polarbear0627,480,304
_waleedshahid,11765,85424
robertatabajara,4,50
NeilSPWilliams,159,173
JennCryer,135,217
MCLopez_94,14843,640
politicablue,4321,740
delfinohsu,59,35
Rizzreed,24014,167953
ArmandoOrriz,4,39
news_wad,0,35
nickhkor,534,365
ScottFAbramson,205,398
sam_rosenfeld,5984,2126
SDHaze,233,40
JessicaLynnJac4,37,12
MaRia69421760,0,0
mattypolafr,75,35
VoicesSaudi,20,4
curiosityusa,215,89
marcusaleksandr,2296,124
Anniek121,2763,971
thdemocracydude,3709,1395
jacobfhsmith,29773,1413
ChanKaMing15,54,76
PSQuarterly,735,677
michael_p_olson,2921,373
JScurrell,579,545
EricaBRussell,200,251
stevenvmiller,25755,1442
ianRturner,899,1246
lee_hedgepeth,2862,2174
shane_martin,689,1175
Mora90274772,5,8
lukas_feddern,80,53
riaaneksteen,41,297
Alove_sky,88,48
QuinMonson,299,518
cshuttle43,65,28
TheSocyCinema,18716,15089
danielbeland,14271,2854
PolSciLukePerry,5025,3752
FrancyLuna5,59,70
Ken_M_Miller,33,70
paulwalters1989,39155,4286
ShamiraGelbman,4917,928
JessyJulia2,21,0
bsupolisci,1730,521
A_Behaviorist,1113,311
mascakir,4356,266
JosephG58431232,10,94
AllieCarnegie,18,912
prof_mirya,5343,9560
Lanaleach7757,20,201
Funmibi4real1,677,131
c_b_nelson,105,64
sedasimsek,3977,4280
IDEK_Neu,1665,296
richardmskinner,74315,1927
MichaelVGenova,1519,520
VIZKAINO,15248,218
sethbwarner,131,34
JenDomagalG,2554,739
Romano_PoliSci,4994,658
DavidSm52629521,1350,94
Pumped2Teach,57,130
NanoGoch,420,757
dr_gdnunez,372,168
Mary87786910,14,328
Naomi76295631,16,32
EbonyVenson,12928,1051
MunsLena,149,255
readphilpettit,167,87
EmilyHRitter,260,673
MaryFra28603818,7,45
JosephARoss,153,343
Czechnology2,28,72
GildaKepple,42,33
MRamosDC,24885,786
schmitte,2584,654
ToddCarolyn2,0,15
independentmil,1787,111
jamiepbassett,248,21
ScottCa97440228,70,50
monicapretty100,7,7
KonaduAngelina,22,19
influentialprof,649,345
ctburks,88,594
Erikamuckee1,0,9
cruzita_osorio,1671,1264
_bettex,0,40
AdamMButz,4674,770
ckuhn17,1528,117
trounstine,271,1391
MehicParker,416,141
johnbroberson,565,141
kanika__khanna,39,153
DennisRBullock1,157,152
alise_coen,1280,1753
lorenc2,1841,1393
tgcamarillo,113,89
Nate_Birkhead,71,209
aldomaher,14260,538
Janet_Guzman_00,2,34
TIPSSeries,47,143
cmichaelmorr,1376,325
nkbaptis,4329,376
robertbandeira,644,261
mattgeras,50,122
MuhammadOwais17,66,271
JensRoehrich,6162,25576
matteogamalerio,2502,686
csestweets,398,3219
benloconnor1990,5221,482
M_J_Lacombe,280,462
ararepublikein,28,90
amiadharan,475,210
JackPiper001,2829,136
HimVeasna,6,14
abussing5,1254,304
Jamil_Scott_,1763,902
teyliskes,0,3
IngridBego,4022,1682
cnwineinger,927,470
DrewWritesStuff,388,83
JaciKettler,4796,898
AmberWichowsky,493,532
ptbaxter1,9,18
nicdesousacl,184,37
KKPSresearch,204,1
Daloula58664203,0,0
ayagalachi,341,241
UnitedBlackOrg,17246,65731
moriahharman,133,467
SevaUT,16497,7524
GabeOsterhout,749,381
JACKKOK60919286,25,56
zack_albert123,99,308
