name,tweets,followers_count
UNICEF,43629,7663413
Habitat_org,25501,1079966
SpaceX,4416,8833005
MarsCuriosity,3708,4043213
varsitytutors,5183,5086
eqstl,5059,3515
kloughead,472,31
deepfriar,22236,332
gatesfoundation,14118,1951399
pikazoapp,2001,1658
MellonProgsWW,2129,408
launchcode,5415,12275
OWNIT_WashU,294,153
WUMT,548,324
AsthmaWing,1165,842
KIPPSTL,810,792
andrewsrubin,3,277
SiriouslySusan,1998,2082177
WUSTLModLitColl,645,150
maryjobang,1,199
CPhillipsPoet,2485,6416
WUTV22,386,216
ATTimpact,5431,17756
debates,46,12316
Wustlmusic,380,273
TeachForAmerica,28439,152633
IKEAStLouis,1103,3561
Stratton_Jill,1751,924
claythecrusade,5232,1019
JGFink,994,270
AllySchipma,16315,1076
WashURec,847,565
mikejimreed,3131,390
shwood,90631,1783363
WUSTL16,18,55
washu_jkl,58,13
Deanne_Bell,758,2901
TFASTL,2767,1811
washuhillel,784,973
HillelIntl,12348,18971
JenSmithWashU,431,347
benlowy,8685,14070
DrPatSportsBiz,3038,2290
WashUOTM,736,608
WU_Connections,38,61
eebsworthgoold,14444,1606
STEMpactSTL,1098,912
A_JHoffman,197,29
HawthornSTL,533,336
emmalynchtyler,13043,2271
ForbesEDU,3412,3590
Official_WUpan,31,31
POTUS,6741,26495016
POTUS44,352,14975592
benlandis,396,3336539
pcolatat,1,19
spoon_washu,298,320
BoeingDefense,12096,226349
WestminsterP,703,196
staceynewman,24384,6688
herbiehancock,1430,161475
PeriscopeCo,1032,1373707
andreacoates,171,118
WUStl_Pride,341,86
DrLoriatSMU,348,522
hello_tesla,21,25
CoachJRyan,2077,2514
WilliamCarey73,4027,652
readingrainbow,19253,64777
KenBurns,3696,123511
MamaPotRoast,135,82
OUPPhilosophy,6953,68318
BlakeMarggraff,346,408
stephengarten,482,477
FarrahFazal,180133,8967
SAUCEmag,17435,50454
TechArtista,920,2022
SLCL,19621,11616
blackanthology,205,163
MarsOneProject,2360,94015
wustlisp,3185,1371
RepAnnWagner,3620,22591
Strive4C,2566,1593
mikebpeters,1049,6351
UKinChicago,5439,6636
jkarpjkarp,3105,384
OBS_STL,4982,11853
EWBUSA,2531,6341
foxinthefield,40,74
StartupWkndSTL,690,2102
historical_pict,40952,5853
Dabble_STL,1600,693
VeritasForumUSC,28,42
gogrowthgroups,2849,3577
PsyPost,40366,243961
PIPELINEorg,6036,3581
dedriccarter,260,345
KIPP,10137,53771
maecquinn,7835,907
BeckerLibrary,741,513
fema,16631,752137
USGBC,34325,129933
WUSTL_EM,2165,2257
followkurt,3940,5722
SLUent,3917,4901
WUSTLelp,287,130
